defined_class	defined_class_label	cell_type	cell_type_label
http://purl.obolibrary.org/obo/GO_0035170	lymph gland crystal cell differentiation	http://purl.obolibrary.org/obo/CL_0000716	lymph gland crystal cell
http://purl.obolibrary.org/obo/GO_0035169	lymph gland plasmatocyte differentiation	http://purl.obolibrary.org/obo/CL_0000733	lymph gland plasmatocyte
http://purl.obolibrary.org/obo/GO_0060836	lymphatic endothelial cell differentiation	http://purl.obolibrary.org/obo/CL_0002138	endothelial cell of lymphatic vessel
http://purl.obolibrary.org/obo/GO_0030098	lymphocyte differentiation	http://purl.obolibrary.org/obo/CL_0000542	lymphocyte
http://purl.obolibrary.org/obo/GO_0002320	lymphoid progenitor cell differentiation	http://purl.obolibrary.org/obo/CL_0000838	lymphoid lineage restricted progenitor cell
http://purl.obolibrary.org/obo/GO_0010742	macrophage derived foam cell differentiation	http://purl.obolibrary.org/obo/CL_0000517	macrophage derived foam cell
http://purl.obolibrary.org/obo/GO_0030225	macrophage differentiation	http://purl.obolibrary.org/obo/CL_0000235	macrophage
http://purl.obolibrary.org/obo/GO_0060644	mammary gland epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_0002327	mammary gland epithelial cell
http://purl.obolibrary.org/obo/GO_0002315	marginal zone B cell differentiation	http://purl.obolibrary.org/obo/CL_0000845	marginal zone B cell of spleen
http://purl.obolibrary.org/obo/GO_0060374	mast cell differentiation	http://purl.obolibrary.org/obo/CL_0000097	mast cell
http://purl.obolibrary.org/obo/GO_0002335	mature B cell differentiation	http://purl.obolibrary.org/obo/CL_0000785	mature B cell
http://purl.obolibrary.org/obo/GO_0097029	mature conventional dendritic cell differentiation	http://purl.obolibrary.org/obo/CL_0000841	mature conventional dendritic cell
http://purl.obolibrary.org/obo/GO_0030219	megakaryocyte differentiation	http://purl.obolibrary.org/obo/CL_0000556	megakaryocyte
http://purl.obolibrary.org/obo/GO_0030318	melanocyte differentiation	http://purl.obolibrary.org/obo/CL_0000148	melanocyte
http://purl.obolibrary.org/obo/GO_0002319	memory B cell differentiation	http://purl.obolibrary.org/obo/CL_0000787	memory B cell
http://purl.obolibrary.org/obo/GO_0043379	memory T cell differentiation	http://purl.obolibrary.org/obo/CL_0000813	memory T cell
http://purl.obolibrary.org/obo/GO_0072007	mesangial cell differentiation	http://purl.obolibrary.org/obo/CL_0000650	mesangial cell
http://purl.obolibrary.org/obo/GO_0048762	mesenchymal cell differentiation	http://purl.obolibrary.org/obo/CL_0008019	mesenchymal cell
http://purl.obolibrary.org/obo/GO_0048333	mesodermal cell differentiation	http://purl.obolibrary.org/obo/CL_0000222	mesodermal cell
http://purl.obolibrary.org/obo/GO_0061265	mesonephric nephron tubule epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_1000022	mesonephric nephron tubule epithelial cell
http://purl.obolibrary.org/obo/GO_0061256	mesonephric podocyte differentiation	http://purl.obolibrary.org/obo/CL_0002523	mesonephric podocyte
http://purl.obolibrary.org/obo/GO_0072257	metanephric nephron tubule epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_1000123	metanephric nephron tubule epithelial cell
http://purl.obolibrary.org/obo/GO_0072248	metanephric podocyte differentiation	http://purl.obolibrary.org/obo/CL_0002525	metanephric podocyte
http://purl.obolibrary.org/obo/GO_0014004	microglia differentiation	http://purl.obolibrary.org/obo/CL_0000129	microglial cell
http://purl.obolibrary.org/obo/GO_1904948	midbrain dopaminergic neuron differentiation	http://purl.obolibrary.org/obo/CL_2000097	midbrain dopaminergic neuron
http://purl.obolibrary.org/obo/GO_0030224	monocyte differentiation	http://purl.obolibrary.org/obo/CL_0000576	monocyte
http://purl.obolibrary.org/obo/GO_1903131	mononuclear cell differentiation	http://purl.obolibrary.org/obo/CL_0000842	mononuclear cell
http://purl.obolibrary.org/obo/GO_1903251	multi-ciliated epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_0005012	multi-ciliated epithelial cell
http://purl.obolibrary.org/obo/GO_0072674	multinuclear osteoclast differentiation	http://purl.obolibrary.org/obo/CL_0000779	multinuclear osteoclast
http://purl.obolibrary.org/obo/GO_0042692	muscle cell differentiation	http://purl.obolibrary.org/obo/CL_0000187	muscle cell
http://purl.obolibrary.org/obo/GO_0030099	myeloid cell differentiation	http://purl.obolibrary.org/obo/CL_0000763	myeloid cell
http://purl.obolibrary.org/obo/GO_0043011	myeloid dendritic cell differentiation	http://purl.obolibrary.org/obo/CL_0000782	myeloid dendritic cell
http://purl.obolibrary.org/obo/GO_0002573	myeloid leukocyte differentiation	http://purl.obolibrary.org/obo/CL_0000766	myeloid leukocyte
http://purl.obolibrary.org/obo/GO_0002318	myeloid progenitor cell differentiation	http://purl.obolibrary.org/obo/CL_0000839	myeloid lineage restricted progenitor cell
http://purl.obolibrary.org/obo/GO_0045445	myoblast differentiation	http://purl.obolibrary.org/obo/CL_0000056	myoblast
http://purl.obolibrary.org/obo/GO_0036446	myofibroblast differentiation	http://purl.obolibrary.org/obo/CL_0000186	myofibroblast cell
http://purl.obolibrary.org/obo/GO_0014902	myotube differentiation	http://purl.obolibrary.org/obo/CL_0002372	myotube
http://purl.obolibrary.org/obo/GO_0001779	natural killer cell differentiation	http://purl.obolibrary.org/obo/CL_0000623	natural killer cell
http://purl.obolibrary.org/obo/GO_0002321	natural killer cell progenitor differentiation	http://purl.obolibrary.org/obo/CL_0000825	pro-NK cell
http://purl.obolibrary.org/obo/GO_0061319	nephrocyte differentiation	http://purl.obolibrary.org/obo/CL_0002520	nephrocyte
http://purl.obolibrary.org/obo/GO_0072160	nephron tubule epithelial cell differentiation	http://purl.obolibrary.org/obo/CL_1000494	nephron tubule epithelial cell
