defined_class	defined_class_label	participant	participant_label
http://purl.obolibrary.org/obo/GO_0006564	L-serine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_33384	L-serine zwitterion
http://purl.obolibrary.org/obo/GO_0042849	L-sorbose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_17266	L-sorbose
http://purl.obolibrary.org/obo/GO_0010493	Lewis a epitope biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_59295	beta-D-Galp-(1->3)-[alpha-L-Fucp-(1->4)]-beta-D-GlcpNAc
http://purl.obolibrary.org/obo/GO_1902760	Mo(VI)-molybdopterin cytosine dinucleotide biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_71353	Mo(VI)-molybdopterin cytosine dinucleotide
http://purl.obolibrary.org/obo/GO_0006777	Mo-molybdopterin cofactor biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_21437	Mo-molybdopterin cofactor
http://purl.obolibrary.org/obo/GO_1900551	N',N'',N'''-triacetylfusarinine C biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_60481	N',N'',N'''-triacetylfusarinine C
http://purl.obolibrary.org/obo/GO_0006045	N-acetylglucosamine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_59640	N-acetylglucosamine
http://purl.obolibrary.org/obo/GO_0006052	N-acetylmannosamine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_62164	N-acetylmannosamine
http://purl.obolibrary.org/obo/GO_0046380	N-acetylneuraminate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_35418	N-acetylneuraminate
http://purl.obolibrary.org/obo/GO_0052709	N-alpha,N-alpha,N-alpha-trimethyl-L-histidine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_15781	N(alpha),N(alpha),N(alpha)-trimethyl-L-histidine
http://purl.obolibrary.org/obo/GO_0009435	NAD biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_13389	NAD
http://purl.obolibrary.org/obo/GO_0006741	NADP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_25523	NADP
http://purl.obolibrary.org/obo/GO_0018425	O3-(N-acetylglucosamine-1-phosphoryl)-L-serine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_67036	O-(N-acetylglucosamine-1-phosphonatooxy)-L-serine(1-)
http://purl.obolibrary.org/obo/GO_0140875	PR-toxin biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_7883	PR-toxin
http://purl.obolibrary.org/obo/GO_0032774	RNA biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_33697	ribonucleic acid
http://purl.obolibrary.org/obo/GO_0006556	S-adenosylmethionine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_59789	S-adenosyl-L-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0016144	S-glycoside biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_35275	S-glycosyl compound
http://purl.obolibrary.org/obo/GO_0010250	S-methylmethionine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58252	S-methyl-L-methionine zwitterion
http://purl.obolibrary.org/obo/GO_0006232	TDP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_61417	TDP(3-)
http://purl.obolibrary.org/obo/GO_0006230	TMP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_142797	TMP(2-)
http://purl.obolibrary.org/obo/GO_0006234	TTP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_63527	TTP(4-)
http://purl.obolibrary.org/obo/GO_0006225	UDP biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58223	UDP(3-)
http://purl.obolibrary.org/obo/GO_2001315	UDP-4-deoxy-4-formamido-beta-L-arabinopyranose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58709	UDP-4-deoxy-4-formamido-beta-L-arabinopyranose(2-)
http://purl.obolibrary.org/obo/GO_0033352	UDP-D-apiose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57572	UDP-D-apiose(2-)
http://purl.obolibrary.org/obo/GO_0033480	UDP-D-galacturonate biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57635	UDP-alpha-D-galacturonate(3-)
http://purl.obolibrary.org/obo/GO_0033320	UDP-D-xylose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57632	UDP-alpha-D-xylose(2-)
http://purl.obolibrary.org/obo/GO_0033358	UDP-L-arabinose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58341	UDP-L-arabinose(2-)
http://purl.obolibrary.org/obo/GO_0019277	UDP-N-acetylgalactosamine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57847	UDP-N-acetyl-D-galactosamine(2-)
http://purl.obolibrary.org/obo/GO_0006048	UDP-N-acetylglucosamine biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_57705	UDP-N-acetyl-alpha-D-glucosamine(2-)
http://purl.obolibrary.org/obo/GO_0052574	UDP-galactose biosynthetic process	http://purl.obolibrary.org/obo/CHEBI_58439	UDP-D-galactose(2-)
