defined_class	defined_class_label	input1	input1_label	input2	input2_label
http://purl.obolibrary.org/obo/GO_0015327	cystine:glutamate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_35492	cystine zwitterion	http://purl.obolibrary.org/obo/CHEBI_14321	glutamate(1-)
http://purl.obolibrary.org/obo/GO_0015364	dicarboxylate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_35692	dicarboxylic acid	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
http://purl.obolibrary.org/obo/GO_0015364	dicarboxylate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate	http://purl.obolibrary.org/obo/CHEBI_35692	dicarboxylic acid
http://purl.obolibrary.org/obo/GO_0015313	fluconazole:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_46081	fluconazole
http://purl.obolibrary.org/obo/GO_0015313	fluconazole:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_46081	fluconazole	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0008518	folate:monoatomic anion antiporter activity	http://purl.obolibrary.org/obo/CHEBI_23905	monoatomic anion	http://purl.obolibrary.org/obo/CHEBI_62501	folate(2-)
http://purl.obolibrary.org/obo/GO_0008518	folate:monoatomic anion antiporter activity	http://purl.obolibrary.org/obo/CHEBI_62501	folate(2-)	http://purl.obolibrary.org/obo/CHEBI_23905	monoatomic anion
http://purl.obolibrary.org/obo/GO_0140800	gamma-aminobutyric acid:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_59888	gamma-aminobutyric acid zwitterion
http://purl.obolibrary.org/obo/GO_0140800	gamma-aminobutyric acid:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_59888	gamma-aminobutyric acid zwitterion	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0061513	glucose 6-phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate	http://purl.obolibrary.org/obo/CHEBI_58247	beta-D-glucose 6-phosphate(2-)
http://purl.obolibrary.org/obo/GO_0061513	glucose 6-phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_58247	beta-D-glucose 6-phosphate(2-)	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
http://purl.obolibrary.org/obo/GO_0070909	glutamate:gamma-aminobutyric acid antiporter activity	http://purl.obolibrary.org/obo/CHEBI_14321	glutamate(1-)	http://purl.obolibrary.org/obo/CHEBI_59888	gamma-aminobutyric acid zwitterion
http://purl.obolibrary.org/obo/GO_0070909	glutamate:gamma-aminobutyric acid antiporter activity	http://purl.obolibrary.org/obo/CHEBI_59888	gamma-aminobutyric acid zwitterion	http://purl.obolibrary.org/obo/CHEBI_14321	glutamate(1-)
http://purl.obolibrary.org/obo/GO_0051408	glyceraldehyde 3-phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate	http://purl.obolibrary.org/obo/CHEBI_58027	glyceraldehyde 3-phosphate(2-)
http://purl.obolibrary.org/obo/GO_0051408	glyceraldehyde 3-phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_58027	glyceraldehyde 3-phosphate(2-)	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
