defined_class	defined_class_label	cargo	cargo_label
http://purl.obolibrary.org/obo/GO_0015762	rhamnose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_26546	rhamnose
http://purl.obolibrary.org/obo/GO_0015733	shikimate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_36208	shikimate
http://purl.obolibrary.org/obo/GO_0015913	short-chain fatty acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58951	short-chain fatty acid anion
http://purl.obolibrary.org/obo/GO_0044718	siderophore transmembrane transport	http://purl.obolibrary.org/obo/GOCHE_26672	substance with siderophore role
http://purl.obolibrary.org/obo/GO_1902601	silver ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_49468	silver(1+)
http://purl.obolibrary.org/obo/GO_0035725	sodium ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29101	sodium(1+)
http://purl.obolibrary.org/obo/GO_0015795	sorbitol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_30911	glucitol
http://purl.obolibrary.org/obo/GO_1903711	spermidine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_57834	spermidine(3+)
http://purl.obolibrary.org/obo/GO_1903710	spermine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_45725	spermine(4+)
http://purl.obolibrary.org/obo/GO_0035382	sterol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_15889	sterol
http://purl.obolibrary.org/obo/GO_0071422	succinate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_30031	succinate(2-)
http://purl.obolibrary.org/obo/GO_1904982	sucrose transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17992	sucrose
http://purl.obolibrary.org/obo/GO_1902358	sulfate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16189	sulfate
http://purl.obolibrary.org/obo/GO_1902599	sulfathiazole transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_9337	sulfathiazole
http://purl.obolibrary.org/obo/GO_0000316	sulfite transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17359	sulfite
http://purl.obolibrary.org/obo/GO_0015745	tartrate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_35397	DL-tartrate(1-)
http://purl.obolibrary.org/obo/GO_0015734	taurine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_507393	taurine zwitterion
http://purl.obolibrary.org/obo/GO_0015904	tetracycline transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_77932	tetracycline zwitterion
http://purl.obolibrary.org/obo/GO_0030974	thiamine pyrophosphate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58937	thiamine(1+) diphosphate(3-)
http://purl.obolibrary.org/obo/GO_0071934	thiamine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_26948	vitamin B1
http://purl.obolibrary.org/obo/GO_0035674	tricarboxylic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_27093	tricarboxylic acid
http://purl.obolibrary.org/obo/GO_0035436	triose phosphate transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_58027	glyceraldehyde 3-phosphate(2-)
http://purl.obolibrary.org/obo/GO_0035443	tripeptide transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_47923	tripeptide
http://purl.obolibrary.org/obo/GO_1903791	uracil transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17568	uracil
http://purl.obolibrary.org/obo/GO_0071918	urea transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16199	urea
http://purl.obolibrary.org/obo/GO_0015862	uridine transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_16704	uridine
http://purl.obolibrary.org/obo/GO_0015735	uronic acid transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_33549	uronate
http://purl.obolibrary.org/obo/GO_0035461	vitamin transmembrane transport	http://purl.obolibrary.org/obo/GOCHE_33229	substance with vitamin (role) role
http://purl.obolibrary.org/obo/GO_0006855	xenobiotic transmembrane transport	http://purl.obolibrary.org/obo/GOCHE_23888	substance with drug role
http://purl.obolibrary.org/obo/GO_1902341	xylitol transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_17151	xylitol
http://purl.obolibrary.org/obo/GO_0071577	zinc ion transmembrane transport	http://purl.obolibrary.org/obo/CHEBI_29105	zinc(2+)
